Against,Team,IDGAME,Phase,Player,MIN,PTS,F2M,F2A,F2GP,F3M,F3A,F3GP,FTM,FTA,FTP,OR,DR,TR,AS,ST,TO,BLK,BLKR,PF,RF,PIR,HA,results,Team_PTS,Team_F2A,Team_F3A,Team_FTA,Team_F2M,Team_F3M,Team_FTM,Team_AS,Team_OR,Team_DR,Team_TR,Team_ST,Team_TO,Team_BLK,Team_PF,Team_PIR,Team_opp_PTS,Team_opp_F2A,Team_opp_F3A,Team_opp_FTA,Team_opp_F2M,Team_opp_F3M,Team_opp_FTM,Team_opp_AS,Team_opp_OR,Team_opp_DR,Team_opp_TR,Team_opp_ST,Team_opp_TO,Team_opp_BLK,Team_opp_PF,Team_opp_PIR,Points_per_shoot,Possesions,Offensive_rating,PIE,Assists_Ratio,As_To_ratio,EFG,FT_ratio,Game_score,True_shooting,Turnover_ratio,Usage,OR_percent,Season
DUB,PAR,1_4,Regular Season,Isaac  Bonga,28.0,7,1,3,33.3,1,2,50.0,2,4,50.0,4,4,8,1,0,0,0,0,1,4,14,A,L,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,0.78,2.6,269.2,0.06,38.5,inf,50.0,0.8,7.8,51.8,0.0,2.4,17.4,2025-2026
DUB,PAR,1_4,Regular Season,Arijan  Lakic,7.0,2,1,1,100.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,1,A,L,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,1.0,1.9,105.3,0.01,0.0,,50.0,0.0,1.0,50.0,0.0,2.8,0.0,2025-2026
DUB,PAR,1_4,Regular Season,Jabari  Parker,24.0,11,3,6,50.0,1,3,33.3,2,2,100.0,2,2,4,2,0,2,0,0,2,2,10,A,L,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,1.0,9.5,115.8,0.05,21.1,1.0,50.0,0.22,6.9,55.7,21.05,4.9,8.7,2025-2026
DUB,PAR,1_4,Regular Season,Tyrique  Jones,25.0,13,6,8,75.0,0,0,,1,2,50.0,3,3,6,2,2,3,2,0,4,2,17,A,L,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,1.3,8.5,152.9,0.09,23.5,0.7,75.0,0.25,12.6,73.2,35.29,4.7,13.0,2025-2026
BAR,HTA,1_5,Regular Season,Johnathan  Motley,18.0,8,2,4,50.0,1,1,100.0,1,2,50.0,1,3,4,2,0,1,0,0,4,4,10,H,W,103,41,24,15,25,13,14,19,8,16,24,8,12,5,19,115,87,38,25,17,22,10,13,18,13,17,30,9,13,1,16,95,1.14,5.6,142.9,0.03,35.7,2.0,70.0,0.4,5.7,68.0,17.86,3.7,4.8,2025-2026
BAR,HTA,1_5,Regular Season,Chris  Jones,22.0,12,3,4,75.0,2,5,40.0,0,0,,0,2,2,3,1,4,0,0,2,0,8,H,W,103,41,24,15,25,13,14,19,8,16,24,8,12,5,19,115,87,38,25,17,22,10,13,18,13,17,30,9,13,1,16,95,1.33,12.5,96.0,0.05,24.0,0.8,66.7,0.0,6.6,66.7,32.0,5.7,0.0,2025-2026
BAR,HTA,1_5,Regular Season,Antonio  Blakeney,19.0,20,0,3,0.0,3,4,75.0,11,11,100.0,0,1,1,0,0,0,2,1,0,4,22,H,W,103,41,24,15,25,13,14,19,8,16,24,8,12,5,19,115,87,38,25,17,22,10,13,18,13,17,30,9,13,1,16,95,1.11,11.4,175.4,0.11,0.0,,64.3,1.57,18.0,84.5,0.0,6.0,0.0,2025-2026
BAR,HTA,1_5,Regular Season,Elijah  Bryant,24.0,11,3,7,42.9,1,2,50.0,2,2,100.0,2,0,2,8,1,2,0,0,2,2,15,H,W,103,41,24,15,25,13,14,19,8,16,24,8,12,5,19,115,87,38,25,17,22,10,13,18,13,17,30,9,13,1,16,95,1.0,9.5,115.8,0.07,84.2,4.0,50.0,0.22,11.5,55.7,21.05,4.7,9.5,2025-2026
BAR,HTA,1_5,Regular Season,Collin  Malcolm,19.0,4,2,3,66.7,0,0,,0,0,,1,1,2,2,1,1,1,0,2,0,6,H,W,103,41,24,15,25,13,14,19,8,16,24,8,12,5,19,115,87,38,25,17,22,10,13,18,13,17,30,9,13,1,16,95,1.33,2.9,137.9,0.03,69.0,2.0,66.7,0.0,5.0,66.7,34.48,2.0,4.8,2025-2026
BAR,HTA,1_5,Regular Season,Tai  Odiase,,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,H,W,103,41,24,15,25,13,14,19,8,16,24,8,12,5,19,115,87,38,25,17,22,10,13,18,13,17,30,9,13,1,16,95,,0.0,,0.0,,,,,0.0,,,,0.0,2025-2026
